id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
255,70,yerevan,malatia-sebastia,"Zoravar Andranik street, 121/6","ք․ Երևան, Զորավար Անդրանիկի փ․ 121/6",yerevan_gis,DDZLB1609,CLARITY_NODE,40.166857,44.446470,,"2024-11-25 16:00:00","2025-08-31 04:00:00",false
256,32,yerevan,noragavit,"Artashat Highway, 101/2","ք․ Երևան, Արտաշատի խճ․101/2",yerevan_gis,DWXDC2269,CLARITY_NODE,40.108538,44.470834,,"2024-11-25 16:00:00","2025-07-11 17:00:00",false
257,62,yerevan,shengavit,"Hayk Hovsepyan street, 31","ք․ Երևան, Հ.Հովսեփյան 31 ",yerevan_gis,DBTYK4585,CLARITY_NODE,40.147693,44.479588,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
258,32,yerevan,noragavit,"Artashat Highway, 101/2","ք․ Երևան, Արտաշատի խճ․101/2",yerevan_gis,DTYQT4045,CLARITY_NODE,40.109151,44.471606,,"2024-11-25 16:00:00","2025-07-11 17:00:00",false
259,95,yerevan,arabkir,"Khapantsyan street, 13","ք. Երևան, ք. Երևան, Ղափանցյան 3",yerevan_gis,DTMXP9985,CLARITY_NODE,40.217206,44.520681,,"2024-12-25 13:00:00","2025-09-15 19:00:00",false
260,95,yerevan,arabkir,"Khapantsyan street, 13","ք. Երևան, ք. Երևան, Ղափանցյան 3",yerevan_gis,DGIPP3404,CLARITY_NODE,40.216703,44.520668,,"2024-12-25 13:00:00","2025-09-15 19:00:00",false
261,96,yerevan,kentron,"Khorenatsi street","English Park (ArmAqi.org)",sensor_community,90849,SDS011,40.174000,44.510000,973.30,"2024-12-27 18:00:00","2025-09-16 12:14:22",false
262,97,yerevan,kentron,"Tsaturyan street","Tsaturyan street (ArmAqi.org)",sensor_community,90858,SDS011,40.162000,44.518000,976.90,"2024-12-28 01:00:00","2025-02-23 17:02:42",false
263,97,yerevan,kentron,"Tsaturyan street","Tsaturyan street (ArmAqi.org)",sensor_community,90859,BME280,40.162000,44.518000,976.90,"2024-12-28 01:00:00","2025-02-23 17:02:43",false
264,98,yerevan,kanaker-zeytun,"Surenyan street","Surenyan st (ArmAqi.org)",sensor_community,90872,SDS011,40.203489,44.526290,1191.50,"2024-12-28 21:00:00","2025-09-16 12:12:59",false
